0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate,Depth_acc_mm,Depth_rate_mm_filtered,Depth_rate_filtered,Depth_acc_filtered,
83,559,28,0.600789,-4.789022,0.025042,25.042,-1,0.953,15.58573532,15.58573532,0.292461794,
84,562,28,0.623325,-5.130891,0.022536,22.536,3,-2.506,15.79424326,15.79424326,0.20850794,
85,561,28,0.646416,-5.449684,0.023091,23.091,-1,0.555,16.01314597,16.01314597,0.218902702,
86,560,28,0.668432,-5.659986,0.022016,22.016,-1,-1.075,16.19323159,16.19323159,0.180085621,
87,564,27,0.68549,-5.820128,0.017058,17.058,4,-4.958,16.21917464,16.21917464,0.025943052,
88,565,27,0.705097,-5.956703,0.019607,19.607,1,2.549,16.3208094,16.3208094,0.101634761,
89,570,27,0.719816,-6.099179,0.014719,14.719,5,-4.888,16.27275512,16.27275512,-0.048054282,
90,575,27,0.73497,-6.159679,0.015154,15.154,5,0.435,16.23919247,16.23919247,-0.033562654,
91,578,27,0.750305,-6.229634,0.015335,15.335,3,0.181,16.21206669,16.21206669,-0.027125774,
92,583,26,0.764237,-6.226106,0.013932,13.932,5,-1.403,16.14366469,16.14366469,-0.068402001,
93,586,26,0.778205,-6.224412,0.013968,13.968,3,0.036,16.07839475,16.07839475,-0.065269941,
94,589,26,0.791857,-6.195994,0.013652,13.652,3,-0.316,16.00560291,16.00560291,-0.072791842,
95,592,26,0.805059,-6.164343,0.013202,13.202,3,-0.45,15.92149482,15.92149482,-0.084108087,
96,593,26,0.819664,-6.143609,0.014605,14.605,1,1.403,15.88199998,15.88199998,-0.039494845,
97,595,25,0.83476,-6.096266,0.015096,15.096,2,0.491,15.85841998,15.85841998,-0.023579999,
98,595,25,0.852381,-6.076393,0.017621,17.621,0,2.525,15.91129738,15.91129738,0.052877401,
99,594,25,0.871291,-6.064114,0.01891,18.91,-1,1.289,16.00125846,16.00125846,0.089961079,
100,593,25,0.892384,-6.12897,0.021093,21.093,-1,2.183,16.1540107,16.1540107,0.152752246,
101,592,25,0.914277,-6.175767,0.021893,21.893,-1,0.8,16.32618038,16.32618038,0.172169679,
102,591,24,0.940353,-6.28459,0.026076,26.076,-1,4.183,16.61867497,16.61867497,0.292494589,
103,591,24,0.967026,-6.4772,0.026673,26.673,0,0.597,16.92030472,16.92030472,0.301629751,
104,589,24,0.998509,-6.659935,0.031483,31.483,-2,4.81,17.35718558,17.35718558,0.436880858,
105,588,24,1.030584,-6.92626,0.032075,32.075,-1,0.592,17.79872001,17.79872001,0.441534433,
106,587,24,1.065651,-7.192335,0.035067,35.067,-1,2.992,18.31676841,18.31676841,0.5180484,
107,583,23,1.104115,-7.479449,0.038464,38.464,-4,3.397,18.92118536,18.92118536,0.604416948,
108,580,23,1.144961,-7.892007,0.040846,40.846,-3,2.382,19.5789298,19.5789298,0.657744439,
109,575,23,1.18505,-8.265135,0.040089,40.089,-5,-0.757,20.1942319,20.1942319,0.615302106,
110,569,23,1.22798,-8.630264,0.04293,42.93,-6,2.841,20.87630495,20.87630495,0.682073043,
111,564,23,1.273762,-9.040676,0.045782,45.782,-5,2.852,21.6234758,21.6234758,0.747170852,
112,558,22,1.321797,-9.623444,0.048035,48.035,-6,2.253,22.41582152,22.41582152,0.792345726,
113,553,22,1.368774,-10.098256,0.046977,46.977,-5,-1.058,23.15265688,23.15265688,0.736835354,
114,548,22,1.41758,-10.707272,0.048806,48.806,-5,1.829,23.92225717,23.92225717,0.769600294,
115,545,24,1.464859,-11.057012,0.047279,47.279,-3,-1.527,24.62295946,24.62295946,0.700702285,
116,541,24,1.511427,-11.512325,0.046568,46.568,-4,-0.711,25.28131067,25.28131067,0.658351216,
117,540,24,1.555262,-11.929321,0.043835,43.835,-1,-2.733,25.83792135,25.83792135,0.55661068,
118,537,24,1.602888,-12.38917,0.047626,47.626,-3,3.791,26.49156371,26.49156371,0.653642359,
119,537,24,1.644776,-12.81039,0.041888,41.888,0,-5.738,26.9534568,26.9534568,0.461893089,
120,539,24,1.683839,-13.027599,0.039063,39.063,2,-2.825,27.3167431,27.3167431,0.363286296,
121,540,24,1.717395,-13.16435,0.033556,33.556,1,-5.507,27.5039208,27.5039208,0.187177707,
122,548,24,1.743745,-13.164769,0.02635,26.35,8,-7.206,27.46930318,27.46930318,-0.034617624,
123,554,25,1.766891,-13.030381,0.023146,23.146,6,-3.204,27.33960408,27.33960408,-0.129699095,
124,560,25,1.785291,-12.784436,0.0184,18.4,6,-4.746,27.07141596,27.07141596,-0.268188123,
125,567,25,1.800965,-12.44663,0.015674,15.674,7,-2.726,26.72949348,26.72949348,-0.341922479,
126,572,25,1.805407,-11.830563,0.004442,4.442,5,-11.232,26.06086868,26.06086868,-0.668624805,
127,577,25,1.810872,-11.270216,0.005465,5.465,5,1.023,25.44299262,25.44299262,-0.61787606,
128,582,26,1.813075,-10.59101,0.002203,2.203,5,-3.262,24.74579284,24.74579284,-0.697199779,
129,587,26,1.810828,-9.836571,-0.002247,-2.247,5,-4.45,23.93600905,23.93600905,-0.809783785,
130,592,26,1.806329,-8.912325,-0.004499,-4.499,5,-2.252,23.08295878,23.08295878,-0.853050272,
131,597,26,1.801577,-8.134926,-0.004752,-4.752,5,-0.253,22.24791002,22.24791002,-0.835048763,
132,600,26,1.794573,-7.083169,-0.007004,-7.004,3,-2.252,21.37035272,21.37035272,-0.877557301,
133,600,27,1.792115,-6.272126,-0.002458,-2.458,0,4.546,20.65550214,20.65550214,-0.714850582,
134,600,27,1.790081,-5.484484,-0.002034,-2.034,0,0.424,19.97481707,19.97481707,-0.680685064,
135,600,27,1.79233,-4.817317,0.002249,2.249,0,4.283,19.44304256,19.44304256,-0.531774512,
136,600,27,1.791521,-3.938773,-0.000809,-0.809,0,-3.058,18.83548128,18.83548128,-0.607561277,
137,600,27,1.801956,-3.387078,0.010435,10.435,0,11.244,18.58346685,18.58346685,-0.252014439,
138,598,28,1.816269,-2.933642,0.014313,14.313,-2,3.878,18.45535284,18.45535284,-0.128114005,
139,600,28,1.828687,-2.381615,0.012418,12.418,2,-1.895,18.27423226,18.27423226,-0.181120585,
140,591,28,1.852906,-2.080073,0.024219,24.219,-9,11.801,18.45257529,18.45257529,0.178343032,
