Time,BE,MM,Depth_Rate,Pitch,mm_rate,be_rate
452.0117499,52.5,219,-6.142735096,20.0393012,0,2
454.0118001,52.5,216,-3.57964595,19.24146873,0,-3
456.0139699,52.5,216,-3.575885979,18.32501429,0,0
458.01217,52.5,209,-1.023707206,18.0895898,0,-7
460.0119299,52.5,205,0,17.68155064,0,-4
462.0118799,52.5,197,0,17.72134471,0,-8
464.0117299,52.5,190,0,17.52127925,0,-7
466.01169,52.5,181,2.557030715,17.48445782,0,-9
468.01635,52.5,175,-3.571444151,17.30264163,0,-6
470.0120399,52.5,169,-2.049989548,16.97245145,0,-6
472.012,52.5,167,1.022806325,16.28695058,0,-2
474.0134001,52.5,164,-5.621372419,15.53182674,0,-3
476.01741,52.5,163,-1.020739328,14.8081565,0,-1
478.0120499,52.5,162,-5.640424258,13.86495514,0,-1
480.0125798,52.5,161,-2.045029953,13.03239746,0,-1
482.0124201,52.5,159,-4.091470402,12.33573979,0,-2
484.0125599,52.5,156,-4.090857706,11.84643055,0,-3
486.01262,52.5,151,1.534147607,11.32803387,0,-5
488.01266,52.5,143,0.511367839,11.29323349,0,-8
490.0126797,52.5,137,-1.534148831,11.06129843,0,-6
492.01297,52.5,128,2.045274928,11.17562289,0,-9
494.0181299,52.5,121,-4.08061575,11.10193304,0,-7
496.01294,52.5,115,4.101787517,10.75511487,0,-6
498.0144599,52.5,111,-4.088036962,9.813111964,0,-4
500.01474,52.5,107,0.511306451,9.127372769,0,-4
502.0146601,52.5,104,-3.068480249,8.984678395,0,-3
504.0145298,52.5,98,-2.045675282,8.868509702,0,-6
506.0168,52.5,90,7.151353981,8.975971466,0,-8
508.0148001,52.5,83,-6.142828045,8.946157944,0,-7
510.0148198,52.5,75,4.091073484,9.209084473,0,-8
512.0152799,52.5,68,-2.045101398,8.886571902,0,-7
514.0159898,52.5,62,0.511226395,8.77706175,0,-6
516.01664,52.5,55,0.511211845,8.555037201,0,-7
518.0155597,52.5,46,0.511684244,8.758950006,0,-9
520.01536,52.5,39,3.580093192,8.393607512,0,-7
522.01506,52.5,36,4.091757437,7.8987707,0,-3
524.0152499,52.5,34,8.181510169,7.230412903,0,-2
526.0202798,52.5,32,6.631415823,6.518306484,0,-2
528.0152899,52.5,32,13.32944357,5.68719455,0,0
530.01534,52.5,32,5.625196237,4.908547565,0,0
532.01539,52.5,27,11.25033431,4.505725471,0,-5
534.0156099,52.5,23,4.090693828,3.98707722,0,-4
536.0174799,52.5,17,3.576391687,3.654056199,0,-6
538.0153597,52.5,11,0,3.524766037,0,-6
540.0169897,52.5,6,1.021953035,3.243424734,0,-5
542.0155497,52.5,1,5.6293607,2.919234288,0,-5
544.0193398,52.5,-4,5.104256739,2.559139826,0,-5
546.0266299,52.5,-7,6.623948798,2.020729931,0,-3
548.0155802,52.5,-10,7.199276337,1.350189316,0,-3
550.01553,52.5,-14,7.671071816,0.733949072,0,-4
552.0194798,52.5,-15,8.166159769,0.024631976,0,-1
554.01566,52.5,-17,6.660814872,-0.547518194,0,-2
556.0221798,52.5,-20,7.645954287,-1.061579355,0,-3
558.0157399,52.5,-24,3.591329524,-1.524076756,0,-4
560.0159199,52.5,-31,3.579413666,-1.645905209,0,-7
562.0156797,52.5,-37,7.160361016,-2.188625111,0,-6
564.0304,52.5,-40,3.045939204,-2.632718201,0,-3
566.01567,52.5,-42,11.8492629,-3.165024362,0,-2
568.01569,52.5,-46,1.022775691,-3.711203054,0,-4
570.01759,52.5,-49,9.707258919,-4.406827982,0,-3
572.0183301,52.5,-51,5.623226696,-5.027151174,0,-2
574.01618,52.5,-54,10.2388367,-5.578272092,0,-3
576.0158799,52.5,-57,5.114696796,-6.165659209,0,-3
578.0181299,52.5,-59,10.21636569,-6.808436932,0,-2
580.0163999,52.5,-63,3.582834994,-7.261695661,0,-4
582.0162698,52.5,-67,3.57996854,-7.737493914,0,-4
584.0182098,52.5,-74,5.619886163,-8.021889219,0,-7
586.0161697,52.5,-78,6.142966533,-8.539829759,0,-4
588.0160399,52.5,-81,6.137098784,-9.096142972,0,-3
590.0160801,52.5,-83,4.091061394,-9.614191997,0,-2
592.0162299,52.5,-86,11.7611423,-10.24163927,0,-3
594.0185098,52.5,-89,1.53243193,-10.82542975,0,-3
596.0161298,52.5,-93,9.728027677,-11.4376115,0,-4
598.0162401,52.5,-97,7.6704562,-11.87372758,0,-4
600.0170801,52.5,-100,4.600604453,-12.33718169,0,-3
602.01873,52.5,-102,4.598727891,-12.81860233,0,-2
604.0193298,52.5,-108,4.601156654,-13.18572158,0,-6
606.0163397,52.5,-112,8.194523455,-13.62458906,0,-4
608.0172198,52.5,-116,-0.511168004,-14.18199737,0,-4
610.0162598,52.5,-122,6.13966245,-14.48767523,0,-6
612.0163999,52.5,-125,7.670342317,-14.98087367,0,-3
614.0164498,52.5,-129,6.136547343,-15.525808,0,-4
616.0170601,52.5,-131,6.134843352,-16.29192719,0,-2
618.01629,52.5,-134,8.1854239,-16.83461154,0,-3
620.0181699,52.5,-137,4.087301937,-17.30053687,0,-3
622.0164298,52.5,-142,6.142044187,-17.6552667,0,-5
624.0168297,52.5,-145,3.067744354,-18.04999561,0,-3
626.01646,52.5,-151,3.068924942,-18.52002968,0,-6
628.0165801,52.5,-155,3.57952087,-18.90052921,0,-4
630.0163999,52.5,-161,6.648707491,-19.18375682,0,-6
632.0166799,52.5,-165,6.647170096,-19.59063426,0,-4
634.0167299,52.5,-168,4.602414232,-20.23938716,0,-3
636.01681,52.5,-171,6.13646211,-20.7023894,0,-3
638.0169001,52.5,-174,11.76149305,-21.19464992,0,-3
640.0178099,52.5,-176,4.089275897,-21.73563952,0,-2
642.0169498,52.5,-177,7.162574344,-22.44046938,0,-1
644.0172099,52.5,-179,3.579277729,-22.69348028,0,-2
646.01698,52.5,-184,2.045806957,-22.81756747,0,-5
648.0198298,52.5,-190,2.042653784,-22.85495951,0,-6
650.01726,52.5,-193,-1.024101733,-23.0817753,0,-3
652.0196401,52.5,-195,6.129413861,-23.51918209,0,-2
654.0172398,52.5,-201,1.024014851,-23.76533883,0,-6
656.0171699,52.5,-207,3.579875752,-23.90473512,0,-6
658.0170199,52.5,-210,5.62573326,-24.44927821,0,-3
660.0172001,52.5,-213,9.715579403,-25.2102585,0,-3
662.01731,52.5,-215,5.62500613,-25.8790938,0,-2
664.0172997,52.5,-218,8.693713503,-26.32861665,0,-3
666.0181499,52.5,-224,3.067050214,-26.49365451,0,-6
668.01922,52.5,-227,5.11118737,-26.96715495,0,-3
670.0222899,52.5,-229,3.063651349,-27.4734125,0,-2
672.0171899,52.5,-231,4.101597158,-27.71028573,0,-2
674.0245199,52.5,-234,0,-28.01032583,0,-3
676.0173399,52.5,-239,0.513233605,-28.0759084,0,-5
678.01745,52.5,-242,0,-28.20015276,0,-3
680.0175401,52.5,-242,2.04547778,-28.4523385,0,0
682.0171899,52.5,-242,3.068891356,-28.45862717,0,0
684.0174897,52.5,-239,2.55657783,-28.73445392,0,3
686.0175498,52.5,-231,2.045507481,-28.56764615,0,8
688.01728,52.5,-226,-3.580229016,-28.23584152,0,5
690.0175201,52.5,-225,-0.511330627,-27.38679253,0,1
692.0173901,52.5,-223,-7.671382844,-26.69261462,0,2
694.0175798,52.5,-220,1.022687039,-26.20459267,0,3
