0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate,Depth_acc_mm,Depth_rate_mm_filtered,Depth_acc_filtered,,
196,415,32,3.293751,-1.602729,0.017316,17.316,-7,6.15,27.23768767,-0.30685632,,
197,412,32,3.293174,-1.155642,-0.000577,-0.577,-3,-17.893,26.40324704,-0.83444063,,
198,424,31,3.284081,-0.681712,-0.009093,-9.093,12,-8.516,25.33835963,-1.064887411,,
199,425,31,3.283747,-0.19528,-0.000334,-0.334,1,8.759,24.56818884,-0.770170789,,
200,432,31,3.280926,0.524987,-0.002821,-2.821,7,-2.487,23.74651318,-0.821675665,,
201,431,30,3.274384,1.074445,-0.006542,-6.542,-1,-3.721,22.83785778,-0.908655395,,
202,427,30,3.268634,1.582699,-0.00575,-5.75,-4,0.792,21.98022205,-0.857635734,,
203,433,30,3.260519,2.005782,-0.008115,-8.115,6,-2.365,21.07736539,-0.902856662,,
204,431,30,3.258629,2.480556,-0.00189,-1.89,-2,6.225,20.38834443,-0.689020962,,
205,429,30,3.25787,2.717687,-0.000759,-0.759,-2,1.131,19.75392409,-0.634420333,,
206,426,30,3.262933,2.870926,0.005063,5.063,-3,5.822,19.31319637,-0.440727723,,
207,420,29,3.27309,2.914921,0.010157,10.157,-6,5.094,19.03851048,-0.274685891,,
208,412,29,3.306721,2.777628,0.033631,33.631,-8,23.474,19.47628517,0.437774686,,
209,405,29,3.330758,2.567015,0.024037,24.037,-7,-9.594,19.61310661,0.136821445,,
210,399,29,3.337586,2.210882,0.006828,6.828,-6,-17.209,19.22955341,-0.383553198,,
211,392,29,3.370714,1.7349,0.033128,33.128,-7,26.3,19.64650681,0.416953398,,
212,385,28,3.407909,1.151342,0.037195,37.195,-7,4.067,20.17296161,0.526454796,,
213,377,29,3.482909,0.213197,0.075,75,-8,37.805,21.81777276,1.644811152,,
214,370,29,3.528569,-0.550772,0.04566,45.66,-7,-29.34,22.53303957,0.715266817,,
215,362,30,3.545196,-1.417419,0.016627,16.627,-8,-29.033,22.35585839,-0.177181187,,
216,355,30,3.595389,-2.313874,0.050193,50.193,-7,33.566,23.19097264,0.835114248,,
217,347,30,3.679796,-3.430922,0.084407,84.407,-8,34.214,25.02745346,1.836480821,,
218,340,30,3.721911,-4.220369,0.042115,42.115,-7,-42.292,25.54007985,0.512626396,,
219,332,30,3.735622,-4.937176,0.013711,13.711,-8,-28.404,25.18520746,-0.354872396,,
220,325,31,3.77532,-5.549348,0.039698,39.698,-7,25.987,25.62059123,0.435383776,,
221,317,31,3.82599,-6.213127,0.05067,50.67,-8,10.972,26.3720735,0.751482263,,
222,318,31,3.831832,-6.519497,0.005842,5.842,1,-44.828,25.75617129,-0.615902205,,
223,310,31,3.847574,-6.715756,0.015742,15.742,-8,9.9,25.45574615,-0.300425139,,
224,312,31,3.853451,-6.709332,0.005877,5.877,2,-9.865,24.86838377,-0.587362385,,
225,322,32,3.849687,-6.511868,-0.003764,-3.764,10,-9.641,24.00941226,-0.858971513,,
226,317,32,3.839192,-6.171308,-0.010495,-10.495,-5,-6.731,22.97427989,-1.035132368,,
227,327,32,3.799381,-5.500177,-0.039811,-39.811,10,-29.316,21.09072149,-1.883558397,,
228,332,32,3.763284,-4.814897,-0.036097,-36.097,5,3.714,19.37508985,-1.715631645,,
229,337,32,3.748556,-4.045091,-0.014728,-14.728,5,21.369,18.35199715,-1.023092695,,
230,342,33,3.706995,-3.18032,-0.041561,-41.561,5,-26.833,16.55460724,-1.797389915,,
231,347,33,3.620804,-1.866198,-0.086191,-86.191,5,-44.63,13.47223902,-3.082368217,,
232,352,33,3.567624,-0.866369,-0.05318,-53.18,5,33.011,11.47267185,-1.999567171,,
233,357,33,3.547142,0.201062,-0.020482,-20.482,5,32.698,10.51403169,-0.958640155,,
234,362,33,3.451873,1.518063,-0.095269,-95.269,5,-74.787,7.340540743,-3.173490951,,
235,366,34,3.400972,2.399393,-0.050901,-50.901,4,44.368,5.59329452,-1.747246222,,
236,362,34,3.383265,3.323328,-0.017707,-17.707,-4,33.194,4.894285685,-0.699008836,,
237,372,34,3.29998,4.330566,-0.083285,-83.285,10,-65.578,2.248907114,-2.645378571,,
238,357,34,3.258363,5.042584,-0.041617,-41.617,-15,41.668,0.932929901,-1.315977213,,
239,350,34,3.247397,5.616534,-0.010966,-10.966,-7,30.651,0.575962004,-0.356967897,,
240,362,35,3.194006,6.213321,-0.053391,-53.391,12,-42.425,-1.043046856,-1.61900886,,
241,347,35,3.172759,6.540953,-0.021247,-21.247,-15,32.144,-1.649165451,-0.606118594,,
242,340,35,3.16881,6.748144,-0.003949,-3.949,-7,17.298,-1.718160487,-0.068995036,,
243,350,35,3.137863,6.902772,-0.030947,-30.947,10,-26.998,-2.595025673,-0.876865185,,
244,337,35,3.137581,6.91761,-0.000282,-0.282,-13,30.665,-2.525634902,0.06939077,,
245,330,36,3.127832,6.851934,-0.009749,-9.749,-7,-9.467,-2.742335855,-0.216700953,,
246,331,36,3.11339,6.665214,-0.014442,-14.442,1,-4.693,-3.09332578,-0.350989924,,
