0,BE,MM,Depth,Pitch
692,623,21,1.473000,22.207590
693,613,20,1.498000,22.332687
694,603,20,1.523000,22.423239
695,613,20,1.523000,22.551622
696,603,20,1.546000,22.698593
697,593,20,1.572000,22.806791
698,603,20,1.572000,22.910460
699,593,20,1.599000,22.980619
700,603,20,1.627000,23.026209
701,593,20,1.627000,23.013071
702,583,20,1.657000,23.011837
703,593,20,1.657000,22.995234
704,583,20,1.688000,22.855835
705,593,20,1.688000,22.734940
706,583,20,1.721000,22.601049
707,573,20,1.755000,22.356682
708,583,20,1.755000,21.972845
709,573,20,1.792000,21.836687
710,583,20,1.792000,21.497156
711,573,20,1.831000,20.935680
712,563,20,1.871000,20.735846
713,573,20,1.871000,20.372835
714,563,20,1.911000,19.822453
715,573,20,1.911000,19.379097
716,563,20,1.951000,18.885059
717,553,20,1.992000,18.247303
718,563,20,1.992000,17.749287
719,553,20,2.033000,17.230608
720,557,20,2.072000,16.602419
721,567,20,2.072000,16.144154
722,557,20,2.109000,15.675079
723,547,20,2.148000,15.100518
