Date Time Depth Depth_Rate BE Pitch MM
2023-06-12 16:35:18 -0.122232 0.018411 513 14.174641 38
2023-06-12 16:35:19 -0.102496 0.019736 513 14.13506 38
2023-06-12 16:35:20 -0.083079 0.019417 513 14.112649 38
2023-06-12 16:35:21 -0.06248 0.020599 513 14.080476 38
2023-06-12 16:35:22 -0.061547 0.000933000000000003 520 14.030356 37
2023-06-12 16:35:23 -0.016914 0.044633 508 13.942632 37
2023-06-12 16:35:24 0.007742 0.024656 512 13.853733 37
2023-06-12 16:35:25 0.033637 0.025895 509 13.75208 37
2023-06-12 16:35:26 0.061584 0.027947 502 13.594019 37
2023-06-12 16:35:27 0.089283 0.027699 510 13.449339 36
2023-06-12 16:35:28 0.119402 0.030119 500 13.282308 36
2023-06-12 16:35:29 0.149972 0.03057 494 13.091203 36
2023-06-12 16:35:30 0.18243 0.032458 488 12.79936 36
2023-06-12 16:35:31 0.217704 0.035274 482 12.571065 36
2023-06-12 16:35:32 0.25008 0.032376 475 12.284215 35
2023-06-12 16:35:33 0.284909 0.034829 467 12.026746 35
2023-06-12 16:35:34 0.320016 0.035107 460 11.701557 35
2023-06-12 16:35:35 0.357727 0.037711 452 11.238347 35
2023-06-12 16:35:36 0.393192 0.035465 445 10.8951 35
2023-06-12 16:35:37 0.42822 0.035028 437 10.522339 34
2023-06-12 16:35:38 0.462965 0.034745 430 10.112074 34
2023-06-12 16:35:39 0.499495 0.03653 422 9.555163 34
2023-06-12 16:35:40 0.535515 0.0360199999999999 415 9.078819 34
2023-06-12 16:35:41 0.568283 0.032768 407 8.616399 34
2023-06-12 16:35:42 0.604069 0.035786 400 7.995677 33
2023-06-12 16:35:43 0.636919 0.03285 392 7.477622 33
2023-06-12 16:35:44 0.66841 0.0314909999999999 385 6.926557 33
2023-06-12 16:35:45 0.700678 0.0322680000000001 377 6.178116 33
2023-06-12 16:35:46 0.729153 0.028475 372 5.629347 33
2023-06-12 16:35:47 0.754959 0.025806 367 5.063704 32
2023-06-12 16:35:48 0.783024 0.028065 361 4.380555 32
2023-06-12 16:35:49 0.805372 0.0223479999999999 360 3.787642 32
2023-06-12 16:35:50 0.831805 0.026433 353 2.981994 32
2023-06-12 16:35:51 0.851376 0.019571 351 2.32613 32
2023-06-12 16:35:52 0.865664 0.014288 354 1.737495 31
2023-06-12 16:35:53 0.883501 0.017837 350 1.068334 31
2023-06-12 16:35:54 0.90033 0.016829 350 0.191239 32
2023-06-12 16:35:55 0.91168 0.0113500000000001 351 -0.452336 32
2023-06-12 16:35:56 0.920436 0.00875599999999999 350 -1.065032 33
2023-06-12 16:35:57 0.929234 0.00879799999999997 352 -1.78432 33
2023-06-12 16:35:58 0.930821 0.00158700000000001 356 -2.284267 33
2023-06-12 16:35:59 0.929111 -0.00170999999999999 356 -2.716686 33
2023-06-12 16:36:00 0.922043 -0.00706800000000007 359 -3.182799 33
2023-06-12 16:36:01 0.908833 -0.0132099999999999 365 -3.380655 34
2023-06-12 16:36:02 0.889997 -0.018836 372 -3.493613 34
2023-06-12 16:36:03 0.863918 -0.0260790000000001 377 -3.489496 34
2023-06-12 16:36:04 0.833129 -0.030789 382 -3.343891 34
