Time,BE,MM,depth_rate,Pitch,be_rate,mm_rate,pitch
566.01567,52.5,-42,11.8492629,-3.165024362,0,-2,-3.165024362
568.01569,52.5,-46,1.022775691,-3.711203054,0,-4,-3.711203054
570.01759,52.5,-49,9.707258919,-4.406827982,0,-3,-4.406827982
572.0183301,52.5,-51,5.623226696,-5.027151174,0,-2,-5.027151174
574.01618,52.5,-54,10.2388367,-5.578272092,0,-3,-5.578272092
576.0158799,52.5,-57,5.114696796,-6.165659209,0,-3,-6.165659209
578.0181299,52.5,-59,10.21636569,-6.808436932,0,-2,-6.808436932
580.0163999,52.5,-63,3.582834994,-7.261695661,0,-4,-7.261695661
582.0162698,52.5,-67,3.57996854,-7.737493914,0,-4,-7.737493914
584.0182098,52.5,-74,5.619886163,-8.021889219,0,-7,-8.021889219
586.0161697,52.5,-78,6.142966533,-8.539829759,0,-4,-8.539829759
588.0160399,52.5,-81,6.137098784,-9.096142972,0,-3,-9.096142972
590.0160801,52.5,-83,4.091061394,-9.614191997,0,-2,-9.614191997
592.0162299,52.5,-86,11.7611423,-10.24163927,0,-3,-10.24163927
594.0185098,52.5,-89,1.53243193,-10.82542975,0,-3,-10.82542975
596.0161298,52.5,-93,9.728027677,-11.4376115,0,-4,-11.4376115
598.0162401,52.5,-97,7.6704562,-11.87372758,0,-4,-11.87372758
600.0170801,52.5,-100,4.600604453,-12.33718169,0,-3,-12.33718169
602.01873,52.5,-102,4.598727891,-12.81860233,0,-2,-12.81860233
604.0193298,52.5,-108,4.601156654,-13.18572158,0,-6,-13.18572158
606.0163397,52.5,-112,8.194523455,-13.62458906,0,-4,-13.62458906
608.0172198,52.5,-116,-0.511168004,-14.18199737,0,-4,-14.18199737
610.0162598,52.5,-122,6.13966245,-14.48767523,0,-6,-14.48767523
612.0163999,52.5,-125,7.670342317,-14.98087367,0,-3,-14.98087367
614.0164498,52.5,-129,6.136547343,-15.525808,0,-4,-15.525808
616.0170601,52.5,-131,6.134843352,-16.29192719,0,-2,-16.29192719
618.01629,52.5,-134,8.1854239,-16.83461154,0,-3,-16.83461154
620.0181699,52.5,-137,4.087301937,-17.30053687,0,-3,-17.30053687
622.0164298,52.5,-142,6.142044187,-17.6552667,0,-5,-17.6552667
624.0168297,52.5,-145,3.067744354,-18.04999561,0,-3,-18.04999561
626.01646,52.5,-151,3.068924942,-18.52002968,0,-6,-18.52002968
628.0165801,52.5,-155,3.57952087,-18.90052921,0,-4,-18.90052921
630.0163999,52.5,-161,6.648707491,-19.18375682,0,-6,-19.18375682
632.0166799,52.5,-165,6.647170096,-19.59063426,0,-4,-19.59063426
634.0167299,52.5,-168,4.602414232,-20.23938716,0,-3,-20.23938716
636.01681,52.5,-171,6.13646211,-20.7023894,0,-3,-20.7023894
638.0169001,52.5,-174,11.76149305,-21.19464992,0,-3,-21.19464992
640.0178099,52.5,-176,4.089275897,-21.73563952,0,-2,-21.73563952
642.0169498,52.5,-177,7.162574344,-22.44046938,0,-1,-22.44046938
644.0172099,52.5,-179,3.579277729,-22.69348028,0,-2,-22.69348028
646.01698,52.5,-184,2.045806957,-22.81756747,0,-5,-22.81756747
648.0198298,52.5,-190,2.042653784,-22.85495951,0,-6,-22.85495951
650.01726,52.5,-193,-1.024101733,-23.0817753,0,-3,-23.0817753
652.0196401,52.5,-195,6.129413861,-23.51918209,0,-2,-23.51918209
654.0172398,52.5,-201,1.024014851,-23.76533883,0,-6,-23.76533883
656.0171699,52.5,-207,3.579875752,-23.90473512,0,-6,-23.90473512
658.0170199,52.5,-210,5.62573326,-24.44927821,0,-3,-24.44927821
660.0172001,52.5,-213,9.715579403,-25.2102585,0,-3,-25.2102585
662.01731,52.5,-215,5.62500613,-25.8790938,0,-2,-25.8790938
664.0172997,52.5,-218,8.693713503,-26.32861665,0,-3,-26.32861665
666.0181499,52.5,-224,3.067050214,-26.49365451,0,-6,-26.49365451
668.01922,52.5,-227,5.11118737,-26.96715495,0,-3,-26.96715495
670.0222899,52.5,-229,3.063651349,-27.4734125,0,-2,-27.4734125
672.0171899,52.5,-231,4.101597158,-27.71028573,0,-2,-27.71028573
674.0245199,52.5,-234,0,-28.01032583,0,-3,-28.01032583
676.0173399,52.5,-239,0.513233605,-28.0759084,0,-5,-28.0759084
678.01745,52.5,-242,0,-28.20015276,0,-3,-28.20015276
680.0175401,52.5,-242,2.04547778,-28.4523385,0,0,-28.4523385
682.0171899,52.5,-242,3.068891356,-28.45862717,0,0,-28.45862717
684.0174897,52.5,-239,2.55657783,-28.73445392,0,3,-28.73445392
686.0175498,52.5,-231,2.045507481,-28.56764615,0,8,-28.56764615
688.01728,52.5,-226,-3.580229016,-28.23584152,0,5,-28.23584152
690.0175201,52.5,-225,-0.511330627,-27.38679253,0,1,-27.38679253
692.0173901,52.5,-223,-7.671382844,-26.69261462,0,2,-26.69261462
