Time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,depth_rate,be_rate,mm_rate,pitch
59,-0.0072,0.0012,0.0185,4.110000134,-4.960000038,250.6999969,3.485791106,0.029448556,3.353188158,-7.770064815,357.680834,-0.125638549,-6.886829121,107.6106889,-1,4.957528205,-2.657728134,3.243742013,21.08899117,3360,61.40000153,35.20000076,-2.08984375,0.007299315,156.8009943,157,0,0,0,277.5,0.110654019,29.448556,-15,-1,-7.770064815
60,-0.0153,0.0015,0.010100001,4.119999886,-3.480000019,247.1000061,3.504202027,0.029139139,3.360795083,-6.776556657,357.8154843,0.168368677,-6.886836997,107.6106885,-1,4.90118688,-2.665947599,3.300978324,21.09701157,3340,61.40000153,35.20000076,-1.9921875,0.015373354,153.562523,154,0,0,0,262.5,0.102748848,29.139139,-15,-3,-6.776556657
61,-0.023499999,-0.0019,0.0028,4.440000057,-2.869999886,245.1000061,3.50727119,0.022271411,3.513560767,-5.619839925,358.0253595,0.088193978,-6.88684418,107.6106882,-1,4.916308755,-2.666757318,3.319499474,21.09698105,3326,61.40000153,35.20000076,-2.48046875,0.023576683,147.7475666,148,0,0,0,245,0.090686083,22.271411,-17.5,-6,-5.619839925
62,-0.029999999,-0.0037,-0.0039,4.090000153,-1.5,250.5,3.509315987,0.012903868,3.470839541,-4.448547864,358.2439271,-0.101870161,-6.88685177,107.6106881,-1,4.967319362,-2.700721221,3.33590526,21.09700012,3306,61.40000153,35.20000076,-2.1875,0.030227305,141.3866504,142,0,0,0,232.5,0.077482097,12.903868,-12.5,-6,-4.448547864
63,-0.033599999,-0.0003,-0.009,3.75,-0.239999995,246.1999969,3.504202027,0.008214772,3.492043941,-3.167648058,358.5462752,0.251076573,-6.886859415,107.6106881,-1,5.001599342,-2.744438539,3.379137336,21.09309196,3366,61.40000153,35.20000076,-2.7734375,0.033601338,135.4185817,136,0,0,0,217.5,0.061506379,8.214772,-15,-6,-3.167648058
64,-0.044299997,-0.0031,-0.011899999,4.019999981,0.109999999,243.8999939,3.505224843,0.009234241,3.82932062,-2.075731446,358.8924135,0.434459267,-6.886867115,107.6106885,-1,5.00791049,-2.793358135,3.411525363,21.08912086,3386,61.40000153,35.20000076,-1.9921875,0.04440833,129.6439193,130,0,0,0,205,0.037040535,9.234241,-12.5,-6,-2.075731446
65,-0.043900002,-0.0029,-0.0142,4.630000114,2.180000067,242.1000061,3.501132865,0.008554889,4.019997065,-0.926807748,359.2571666,-0.000635268,-6.886875268,107.6106892,-1,4.997669387,-2.869912292,3.460644284,21.07705116,3354,61.40000153,35.20000076,-1.50390625,0.043995683,124.8603117,125,0,0,0,190,0.030059274,8.554889,-15,-5,-0.926807748
66,-0.045200001,-0.0025,-0.015800001,4.380000114,2.950000048,241.5,3.486815472,1.48E-05,3.989930271,0.090884662,359.5655283,0.092696054,-6.886883087,107.6106901,-1,4.952276501,-2.917336757,3.471726037,21.10087013,3314,61.29999924,35.20000076,-1.89453125,0.045269086,120.1567001,121,0,0,0,172.5,0.026002817,0.014822,-17.5,-4,0.090884662
67,-0.044400003,-0.0049,-0.0164,4.559999943,3.440000057,241.5,3.480677266,0.001105428,4.216034938,1.052655778,359.8329155,0.35187694,-6.886890971,107.6106914,-1,5.056601333,-2.950668452,3.500245873,21.08498192,3314,61.29999924,35.20000076,-2.28515625,0.044669567,116.3553928,117,0,0,0,157.5,0.017772365,1.105428,-15,-4,1.052655778
68,-0.046400003,-0.0032,-0.0187,4.78000021,5.090000153,240.1000061,3.470449348,0.001265735,4.426466194,1.905072908,359.700288,0.026239339,-6.886898946,107.6106932,-1,5.127984687,-2.980437128,3.502838888,21.09692001,3274,61.29999924,35.20000076,-2.1875,0.046510217,113.2857876,114,0,0,0,140,0.039486982,1.265735,-17.5,-3,1.905072908
69,-0.047599997,-0.0057,-0.0199,4.730000019,5.519999981,240,3.457153935,-0.004627599,4.337156749,2.679839446,359.2066522,-0.04108186,-6.886906599,107.6106951,-1,5.228120919,-3.027427665,3.515928338,21.09294128,3286,61.29999924,35.20000076,-1.796875,0.047940064,111.37681,112,0,0,0,122.5,0.1031247,-4.627599,-17.5,-2,2.679839446
