Time,%time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,be_rate,depthrate_mm,depthrate_mm
5.9,1.70E+18,0.054900002,-0.01,0.027100001,2.039999962,-5.150000095,283.7000122,3.771148939,0.053205829,0.460467806,-7.15505607,268.8052062,-0.0205114,-6.886519861,107.6102513,-1,0,0,0,20.65390015,1254,59.72999954,37.00999832,934.4000244,0.055803317,250.4979704,251,0,0,0,475,0.036277898,-2.5,5.3205829,3.087785
6,1.70E+18,0.054900002,-0.01,0.027100001,2.039999962,-5.150000095,283.7000122,3.769103308,0.051680345,0.451425868,-7.047652819,268.8436113,-0.073997156,-6.88651975,107.6102526,-1,0,0,0,20.65390015,1254,59.72999954,37.00999832,934.4000244,0.055803317,250.4979704,251,0,0,0,475,0.036277898,-2.5,5.1680345,-1.525484
6.1,1.70E+18,0.054900002,-0.01,0.027100001,2.039999962,-5.150000095,283.7000122,3.773195286,0.048944246,0.434353132,-6.939832714,268.8805131,-0.12450228,-6.886519638,107.610254,-1,0,0,0,20.65390015,1254,59.72999954,37.00999832,934.4000244,0.055803317,250.4979704,251,0,0,0,475,0.036277898,-2.5,4.8944246,-2.736099
6.2,1.70E+18,0.054900002,-0.01,0.027100001,2.039999962,-5.150000095,283.7000122,3.780353804,0.050545599,0.419171744,-6.831477877,268.9232917,-0.106837286,-6.886519526,107.6102553,-1,0,0,0,20.5362606,2846,59.72999954,37.00999832,934.4000244,0.055803317,250.4979704,251,0,0,0,475,0.036277898,-2.5,5.0545599,1.601353
6.3,1.70E+18,0.0515,-0.0023,0.029999999,1.940000057,-4.039999962,230.3999939,3.78239872,0.050446007,0.404437933,-6.72367144,268.9596468,-0.09743827,-6.886519411,107.6102566,-1,0,0,0,20.5362606,2846,59.72999954,37.00999832,934.4000244,0.051551334,250.4979704,251,0,0,0,475,0.036277898,-2.5,5.0446007,-0.099592
6.4,1.70E+18,0.0515,-0.0023,0.029999999,1.940000057,-4.039999962,230.3999939,3.786490698,0.050409567,0.385430312,-6.618004363,268.9968492,-0.146525758,-6.8865193,107.6102579,-1,0,0,0,20.5362606,2846,59.72999954,37.00999832,934.4000244,0.051551334,250.4979704,251,0,0,0,465,0.036277898,-10,5.0409567,-0.03644
6.5,1.70E+18,0.0515,-0.0023,0.029999999,1.940000057,-4.039999962,230.3999939,3.789558907,0.047142282,0.369793258,-6.51250941,269.0312908,-0.15927538,-6.886519188,107.6102593,-1,0,0,0,20.5362606,2846,59.72999954,37.00999832,934.4000244,0.051551334,250.4979704,251,0,0,0,465,0.036277898,-10,4.7142282,-3.267285
6.6,1.70E+18,0.0515,-0.0023,0.029999999,1.940000057,-4.039999962,230.3999939,3.7926264,0.04872556,0.354258788,-6.414003148,269.0686572,-0.125087452,-6.886519076,107.6102606,-1,0,0,0,20.5362606,2846,59.72999954,37.00999832,933.9000244,0.051551334,250.4979704,251,0,0,0,465,0.036277898,-10,4.872556,1.583278
6.7,1.70E+18,0.0515,-0.0023,0.029999999,1.940000057,-4.039999962,230.3999939,3.799786825,0.050314382,0.330396952,-6.317188643,269.1038915,-0.212869242,-6.886518963,107.610262,-1,0,0,0,20.5362606,2846,59.72999954,37.00999832,933.9000244,0.051551334,250.4979704,251,0,0,0,465,0.036277898,-10,5.0314382,1.588822
6.8,1.70E+18,0.0515,-0.0023,0.029999999,1.940000057,-4.039999962,230.3999939,3.803878803,0.052292913,0.306372308,-6.214940529,269.1363924,-0.218773492,-6.886518851,107.6102634,-1,0,0,0,20.5362606,2846,59.72999954,37.00999832,933.9000244,0.051551334,250.4979704,251,0,0,0,465,0.036277898,-10,5.2292913,1.978531
