Time,%time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,Unnamed: 33,be_rate,depth_rate,mm_rate,pitch
52,1.70E+18,0.098199993,0.008,-0.065199994,0.800000012,25.23999977,275.3999939,2.562217493,-0.09739171,-0.216903393,21.55685577,268.467077,-0.192783693,-6.886458438,107.6106197,-1,0,0,0,20.64587021,1246,59.61999893,36.90999985,926.5999756,0.09852532,250.4979704,251,0,0,0,55,0.036277898,,0,-97.39171,0,21.55685577
53,1.70E+18,0.103699997,0.023200002,-0.057500001,0.730000019,25.07999992,275.7999878,2.454825122,-0.102671407,-0.192498334,21.41291511,268.5676684,0.052080735,-6.886453388,107.6106139,-1,0,0,0,20.64585114,1240,59.65000153,36.91999817,926,0.106263491,250.4979704,251,0,0,0,55,0.036277898,,0,-102.671407,0,21.41291511
54,1.70E+18,0.125499994,0.0051,-0.074300006,0.850000024,24.96999931,275.8999939,2.35152467,-0.106394,-0.000126919,21.30483746,268.6101464,0.13947603,-6.88644986,107.6106122,-1,0,0,0,20.65388107,1214,59.65000153,36.90999985,926.2000122,0.125603576,250.4979704,251,0,0,0,55,0.036277898,,0,-106.394,0,21.30483746
55,1.70E+18,0.145300001,-0.039000001,-0.1193,0.910000026,24.88999939,357.7000122,2.252313752,-0.102008373,0.184323269,21.23698953,268.6335995,0.046464126,-6.886447141,107.610613,-1,0,0,0,20.65386963,1246,59.72000122,36.90999985,926.2999878,0.15044298,250.4979704,251,0,0,0,57.5,0.036277898,,2.5,-102.008373,0,21.23698953
56,1.70E+18,0.137899995,0.0091,-0.044199999,1.299999952,24.76000023,357.8999939,2.144921381,-0.105966143,0.145484653,21.18576275,268.6843325,-0.244230987,-6.886444968,107.6106154,-1,0,0,0,20.65382957,1234,59.72999954,36.88000107,926.5,0.138199923,250.4979704,251,0,0,0,62.5,0.036277898,,5,-105.966143,0,21.18576275
57,1.70E+18,0.138899997,0.021399999,-0.066100001,0.860000014,24.72999954,357.6000061,2.033437033,-0.107710302,0.1150736,21.09081426,268.8263359,-0.010663903,-6.886445704,107.6106142,-1,0,0,0,20.65384102,1234,59.72000122,36.90999985,926.5999756,0.140538853,250.4979704,251,0,0,0,67.5,0.036277898,,5,-107.710302,0,21.09081426
58,1.70E+18,0.129899994,0.0623,-0.063900001,1.220000029,24.72999954,357.7999878,1.926044662,-0.110871941,0.237974083,20.91390293,269.0772129,-0.003859322,-6.886446455,107.6106125,-1,0,0,0,20.53225136,2814,59.72000122,36.90000153,927,0.144066993,250.4979704,251,0,0,0,85,0.036277898,,17.5,-110.871941,0,20.91390293
59,1.70E+18,0.128000006,0.0093,-0.055199999,0.959999979,24.12999916,357.5,1.816607524,-0.110477954,0.115247792,20.57638878,269.3190969,-0.576355038,-6.886447254,107.6106103,-1,0,0,0,20.64594078,1246,59.75,36.88000107,927.2999878,0.128337413,250.4979704,251,0,0,0,90,0.036277898,,5,-110.477954,0,20.57638878
60,1.70E+18,0.127100006,0.020299999,-0.0548,0.680000007,23.78000069,357.2999878,1.718420212,-0.107293613,-0.344294174,20.05053573,269.7422641,-0.606644887,-6.886448112,107.6106077,-1,0,0,0,20.5163002,2880,59.77000046,36.88000107,927.5,0.128710922,250.4979704,251,0,0,0,107.5,0.036277898,,17.5,-107.293613,0,20.05053573
61,1.70E+18,0.105999999,0.0076,-0.049200002,0.200000003,22.98999977,357,1.615118962,-0.108327076,-0.621982275,19.33483694,270.2226153,-0.272626926,-6.886449004,107.6106045,-1,0,0,0,20.53226089,2786,59.79000092,36.88000107,927.7000122,0.106272102,250.4979704,251,0,0,0,125,0.036277898,,17.5,-108.327076,0,19.33483694
