Time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,be_rate,depth_rate,mm_rate,pitch
49,0.0722,-0.044299997,0.065199994,4.329999924,-6.329999924,257.1000061,2.960081477,0.07615073,3.716646486,-8.566679184,0.293807355,-0.066686762,-6.886586695,107.6107442,-1,0.465714756,6.065426676,2.634256749,21.1089592,3274,61.60000229,35.20000076,-2.28515625,0.084707319,162.9903332,163,0,0,0,465,-0.025880489,-17.5,76.15073,-8,-8.566679184
50,0.074099995,-0.030299999,0.063699998,4.610000134,-5.090000153,254,3.033721108,0.072865225,3.748815483,-8.089890051,359.4473881,-0.159897042,-6.88658782,107.6107436,-1,0.467955522,5.958985373,2.707668755,21.10490036,3286,61.60000229,35.29999924,-2.48046875,0.080055601,155.476369,156,0,0,0,447.5,0.045224518,-17.5,72.865225,-7,-8.089890051
51,0.1065,-0.045200001,0.069400005,4.449999809,-4.730000019,253.6000061,3.101224918,0.07294406,3.692487812,-7.800083346,358.4775834,-0.113350439,-6.886588918,107.610743,-1,0.413358609,5.870449383,2.793339067,21.10105133,3306,61.60000229,35.29999924,-2.3828125,0.115694814,150.1590549,151,0,0,0,427.5,0.112650812,-20,72.94406,-5,-7.800083346
52,0.067000002,-0.042599998,0.061799999,4.380000114,-4.550000191,245,3.167705913,0.06724377,3.665126718,-7.734531525,357.8575523,-0.065754669,-6.886584523,107.6107459,-1,0.367632367,5.825313732,2.867186521,21.10501099,3360,61.60000229,35.29999924,-2.48046875,0.079396222,148.2915739,149,0,0,0,410,0.126484856,-17.5,67.24377,-2,-7.734531525
53,0.065899998,-0.047599997,0.063299999,4.28000021,-4.380000114,251.6000061,3.232141395,0.06482926,3.716605484,-7.851262286,357.5783019,0.144983795,-6.886582091,107.6107477,-1,0.209076366,5.731773192,2.933775716,21.0890522,3360,61.60000229,35.29999924,-2.578125,0.081293108,147.247181,148,0,0,0,392.5,0.125480309,-17.5,64.82926,-1,-7.851262286
54,0.066300005,-0.024799999,0.0623,4.449999809,-4.849999905,246.5,3.300667901,0.065445498,3.91431205,-8.032687246,357.6477591,0.142789444,-6.886582579,107.6107473,-1,0.012617252,5.721232545,3.02927748,21.0970211,3366,61.60000229,35.29999924,-2.578125,0.070786514,154.7768926,154,0,0,0,375,0.110592514,-17.5,65.445498,6,-8.032687246
55,0.057500001,-0.0186,0.058599997,4.400000095,-4.920000076,253.1999969,3.349761624,0.062712133,3.899644894,-8.114952475,357.9493146,0.020228757,-6.88658125,107.6107485,-1,-0.069563427,5.747311774,3.073852946,21.08899117,3306,61.60000229,35.29999924,-2.48046875,0.060433518,158.9280908,158,0,0,0,360,0.080371365,-15,62.712133,4,-8.114952475
56,0.058699999,-0.021399999,0.053300001,4.349999905,-4.699999809,243.1999969,3.408060331,0.054120138,3.919067419,-7.989177374,358.3589511,0.082734563,-6.886581684,107.6107483,-1,-0.163026436,5.728288716,3.133509699,21.10103035,3306,61.60000229,35.29999924,-1.89453125,0.062479195,161.7140681,161,0,0,0,342.5,0.061026659,-17.5,54.120138,3,-7.989177374
57,0.048999999,-0.0175,0.046099998,4.539999962,-4.900000095,243.1000061,3.455107589,0.049531113,3.918472037,-7.574209742,358.9166319,0.070742635,-6.886580529,107.6107489,-1,-0.196561929,5.666323417,3.164316291,21.09700012,3346,61.60000229,35.29999924,-1.6015625,0.052031239,161.0664692,161,0,0,0,327.5,0.029586386,-15,49.531113,0,-7.574209742
58,0.0451,-0.0104,0.0374,4.610000134,-4.5,242.8999939,3.498065372,0.046990916,3.958826896,-6.890617596,359.6261565,0.195640921,-6.886581058,107.6107488,-1,-0.257997763,5.625980343,3.248705703,21.10084152,3286,61.60000229,35.29999924,-2.1875,0.046283582,159.8304314,160,0,0,0,312.5,0.030991221,-15,46.990916,-1,-6.890617596
